Monday,,,"Time Table, Fall-2021
",,,,,,,,,,,,,,,,,,,,,,,,,,BS CS (2021),,,,,,,,,,,,,"FAST School of Computing, NUCES, Islamabad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS (CS),,,,,,,,,,,,BS Repeat Courses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A-314,,,,,,,,,,,,,,,,,,,"COAL (CS-20, G)",,,,,,,,,,,,,,,,,,"Discrete (CS-20, G)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A-315,,,,,,,,,,,,,,,,,,,"SDA (CS-19, E)",,,,,,,,,,,,,,,,,,"CNet (CS-19, E)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A-316,"Automata (CS-19, F)",,,,,,,,,,,,,,,,,,"CNet (CS-19, F)",,,,,,,,,,,,,,,,,,"SDA (CS-19, F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lab,08:30 - 11:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:25 - 05:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:20 - 08:05 (inc. 10 min. break),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Labs,Margala 1,"IICT - Lab (CS-21, S)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IICT - Lab (CS-21, Y) - 11:35 - 02:20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AI - Lab (CS-18, B)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Margala 3,"Data Str - Lab (CS-20, A)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IICT - Lab (DS-21, N1) - 11:20 - 02:05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"English Comp - Lab (DS-21, N1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Margala 4,"AI - Lab (CS-18, A)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"English Comp - Lab (DS-21, U1) - 11:20 - 02:05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IICT - Lab (DS-21, U2) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rawal 1,"IICT - Lab (CS-21, V)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IICT - Lab (CS-21, Z) - 11:35 - 02:20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Data Str - Lab (CS-20, C)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rawal 3,"IICT - Lab (DS-21, N2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"English Comp - Lab (DS-21, U2) - 11:20 - 02:05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"COAL - Lab (AI-19, K)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rawal 4,"Data Str - Lab (CY-20, T)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IICT - Lab (CY-21, T1) - 11:20 - 02:05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Data Str - Lab (AI-20, JK) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Karakoram 1,"English Comp - Lab (CS-21, Y1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IICT - Lab (CY-21, T2) - 11:20 - 02:05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Data Str - Lab (CS-20, D)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Karakoram 2,"OS - Lab (CY-19, M)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"English Comp - Lab (CS-21, S1) - 11:35 - 02:20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS (C) - Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Karakoram 3,DB (C) - Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Data Str - Lab (CS-20, B) - 01:45 - 04:30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mehran 1,,,,,,,,,,,,,,,,,,,"COAL - Lab (AI-19, J) - 10:00 - 12:45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IICT - Lab (DS-21, U1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GPU-Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A-CALL-1,"English Comp - Lab (CS-21, Y2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"English Comp - Lab (CS-21, S2) - 11:35 - 02:20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"English Comp - Lab (CY-21, T1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A-CALL-2,"English Comp - Lab (CS-21, Z1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"English Comp - Lab (CS-21, V1) - 11:35 - 02:20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"English Comp - Lab (CY-21, T2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A-CALL-3,"English Comp - Lab (CS-21, Z2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"English Comp - Lab (CS-21, V2) - 11:35 - 02:20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"English Comp - Lab (DS-21, N2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Digital Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DLD (B) - Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
